key,option,VN,CN,TH
Submission Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__submit_date",Ngày nộp,Submission Date,Submission Date
Inspection Template,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__template_id",Mẫu phiếu giám sát,Inspection Template,Inspection Template
Tenure,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__tenure",Thâm niên công tác,Tenure,Tenure
"Working tenure of the tested employee (e.g. 1 year, 6 months, 2 years).","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__tenure","Thâm niên làm việc của nhân viên được kiểm tra (ví dụ: 1 năm, 6 tháng, 2 năm).","Working tenure of the tested employee (e.g. 1 year, 6 months, 2 years).","Working tenure of the tested employee (e.g. 1 year, 6 months, 2 years)."
Tested Employee,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__test_employee_name",Nhân viên được kiểm tra,Tested Employee,Tested Employee
Store employee taking the exam (not required to be a system user).,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__test_employee_name",Nhân viên cửa hàng tham gia bài thi (không bắt buộc là người dùng hệ thống).,Store employee taking the exam (not required to be a system user).,Store employee taking the exam (not required to be a system user).
Total Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__total_score",Tổng điểm,總分,คะแนนรวม
Total Score = Checklist Score + Staff Exam Score.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__total_score",Tổng điểm = Điểm Checklist + Điểm thi nhân viên.,Total Score = Checklist Score + Staff Exam Score.,Total Score = Checklist Score + Staff Exam Score.
Video,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__video",Video minh chứng,佐證影片,วิดีโอหลักฐาน
Website Messages,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__website_message_ids",Tin nhắn Website,Website Messages,Website Messages
Website communication history,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__website_message_ids",Lịch sử trao đổi trên Website,Website communication history,Website communication history
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__create_uid",Người tạo,Created by,Created by
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__display_name",Tên hiển thị,Display Name,Display Name
Employee Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__employee_name",Tên nhân viên,Employee Name,Employee Name
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__id",ID,ID,ID
Inspection Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__inspection_id",Phiếu giám sát,Inspection Sheet,Inspection Sheet
Passed Exam,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__is_pass",Đã thi đậu,通過測驗,สอบผ่าน
Present,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__is_present",Có mặt,Present,Present
Line Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__line_type",Loại dòng,Line Type,Line Type
Store Member,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__member_id",Thành viên cửa hàng,Store Member,Store Member
Note,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__note",Ghi chú,Note,Note
Phone,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__phone",Số điện thoại,電話,เบอร์โทร
Role,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__role",Vai trò,角色,บทบาท
Sequence,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__sequence",Thứ tự,Sequence,Sequence
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Active,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__active",Đang hoạt động,正常營運,ใช้งานอยู่
Category Code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__code",Mã danh mục,Category Code,Category Code
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__create_uid",Người tạo,Created by,Created by
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__display_name",Tên hiển thị,Display Name,Display Name
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__id",ID,ID,ID
Severe Violation,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__is_severe",Vi phạm nghiêm trọng,Severe Violation,Severe Violation
Category Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__name",Tên nhóm tiêu chí,Category Name,Category Name
Sequence,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__sequence",Thứ tự,Sequence,Sequence
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line___point_return",Điểm số,Score,Score
Employee Answer,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__answer",Câu trả lời của nhân viên,Employee Answer,Employee Answer
Correct Answer,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__correct_answer_snapshot",Đáp án đúng,Correct Answer,Correct Answer
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__create_uid",Người tạo,Created by,Created by
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__display_name",Tên hiển thị,Display Name,Display Name
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__id",ID,ID,ID
Inspection Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__inspection_id",Phiếu giám sát,Inspection Sheet,Inspection Sheet
Is Correct,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__is_correct",Chính xác,Is Correct,Is Correct
Locked,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__is_locked",Tạm khóa,暫時鎖定,ล็อค
Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__point",Điểm số,Score,Score
Question Code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__quest_code_snapshot",Mã tiêu chí,Question Code,Question Code
Question Text,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__quest_content_snapshot",Nội dung tiêu chí,Question Text,Question Text
Question,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__quest_id",Tiêu chí / Câu hỏi,Question,Question
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Active,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_grade__active",Đang hoạt động,正常營運,ใช้งานอยู่
